"","age_30_39....both_df..30.to.39.Years.Old.","age_40_49....both_df..40.to.49.Years.Old."
"1573",NA,NA
"1574",NA,706
"1575",878,389
"1576",NA,NA
"1577",727,559
"1578",NA,NA
"1579",NA,NA
"1580",NA,NA
"1581",956,673
"1582",NA,NA
"1583",NA,862
"1584",NA,NA
"1585",NA,NA
"1586",NA,NA
"1587",NA,NA
"1588",NA,NA
"1589",NA,NA
"1590",NA,280
"1591",NA,NA
"1592",NA,NA
"1593",NA,NA
"1594",940,568
"1595",527,612
"1596",323,339
"1597",NA,NA
"1598",NA,NA
"1599",326,170
"1600",NA,NA
"1601",NA,NA
"1602",NA,NA
"1603",NA,617
"1604",NA,NA
"1605",NA,153
